Address,Price,Beds,Baths,Sizes
"4121 Avenue V, Brooklyn, NY 11234","$499,000",2,1.5,830sqft
"2212 Fenton Ave, Bronx, NY 10469","$739,000",3,1.5,"2,018sqft"
"695 Meeker Ave, Brooklyn, NY 11222","$1,699,000",12,6,No display data
"28 Diaz Pl, Staten Island, NY 10306","$589,900",3,2.5,"1,620sqft"
"105 Goodall St, Staten Island, NY 10308","$509,000",2,1.5,"1,280sqft"
"1495 E 28th St Apt 3A, Brooklyn, NY 11229","$649,000",2,2,850sqft
"338 Graham Ave, Staten Island, NY 10314","$750,000",3,2.5,"1,584sqft"
"12 Belair Rd, Staten Island, NY 10305","$988,000",3,1.5,"2,306sqft"
"95-11 130th St, Richmond Hill South, NY 11419","$825,000",3,3,No display data
"900 Park Ave Apt 22A, Manhattan, NY 10075","$4,575,000",3,3.5,"1,568sqft"
"27010 Grand Central Pkwy Apt 24E, Floral Park, NY 11005","$719,000",2,2.5,"1,622sqft"
"35-06 E Leavitt St Unit 6, Flushing, NY 11354","$688,000",2,2,932sqft
"249-05 64th Ave Unit Upper, Little Neck, NY 11362","$369,000",3,1,960sqft
"4608 Avenue L, Brooklyn, NY 11234","$759,000",4,3,No display data
"34 Alcott St Unit A, Staten Island, NY 10312","$479,900",2,2.5,"1,152sqft"
"69 Dehart Ave, Staten Island, NY 10303","$853,000",3,2,"2,408sqft"
"29-11 215 Pl, Bayside, NY 11360","$1,320,000",3,2.5,No display data
"35-67 160 St, Flushing, NY 11358","$1,549,888",4,2.5+,No display data
"90 Hudson St Apt 4A, New York City, NY 10013","$2,550,000",2,2,No display data
"10 E 42nd St, Brooklyn, NY 11203","$950,000",5,2,No display data
"221 W 82nd St Apt 7F, Manhattan, NY 10024","$2,995,000",3,2,"1,850sqft"
"200 Riverside Blvd Apt 14A, New York, NY 10069","$2,950,000",3,2.5,"1,600sqft"
"1280 Fifth Ave Unit 7B, New York, NY 10029","$2,195,000",2,2,"1,480sqft"
"833 Bay Ridge Ave, Brooklyn, NY 11220","$1,800,000",11,6,No display data
"400 E 51st St Apt 29B, New York City, NY 10022","$4,700,000",3,3.5,"2,347sqft"
"159-34 Riverside Dr W Unit 6A, Manhattan, NY 10032","$1,275,000",3,2,"1,470sqft"
"2711 E 23rd St, Brooklyn, NY 11235","$1,250,000",3,2,"1,320sqft"
"10 E End Ave Apt 19D, Manhattan, NY 10075","$2,800,000",3,2.5,No display data
"135 Fort Greene Pl Unit Twnhse, Brooklyn, NY 11217","$3,649,000",5,2,"3,500sqft"
"6120 Grand Central Pkwy Apt B508, Forest Hills, NY 11375","$470,000",2,1,"1,250sqft"
"300 W 122nd St Apt 7B, New York City, NY 10027","$1,380,000",2,2,"1,038sqft"
"300 W 122nd St Apt 3B, New York City, NY 10027","$1,300,000",2,2,"1,038sqft"
"407 Torry Ave, Bronx, NY 10473","$599,000",3,2,"1,980sqft"
"3232 Richmond Rd, Staten Island, NY 10306","$799,000",4,2.5+,"1,750sqft"
"800 Grand Concourse Apt 3CN, Bronx, NY 10451","$499,900",3,2,No display data
"217-12 73 Ave Unit 385A2, Oakland Gardens, NY 11364","$323,999",2,1,No display data
"292 Eldert Ln, Champlain, NY 11208","$597,000",3,1.5,No display data
"474 W 238th St Apt 6B, Bronx, NY 10463","$315,000",2,1,"1,000sqft"
"4725 Kings Hwy, New York City, NY 11234","$799,000",3,2,"1,500sqft"
"911 Vincent Ave, Bronx, NY 10465","$725,000",3,2.5,"1,732sqft"
"4121 Avenue V Apt 1C, Brooklyn, NY 11234","$499,000",2,1.5,830sqft
"2254 80th St, Brooklyn, NY 11214","$1,399,998",5,2.5+,"2,323sqft"
"34-21 78th St Unit 5F, Jackson Heights, NY 11372","$625,000",2,2,No display data
"27 Arthur Ave, Staten Island, NY 10305","$899,000",3,2,"1,880sqft"
"2438 E 22nd St, Brooklyn, NY 11235","$1,450,000",7,4,"3,706sqft"
"87-53 96 St, Woodhaven, NY 11421","$1,425,000",4,2,"2,170sqft"
"10-13 115 St, College Point, NY 11356","$725,000",2,2,960sqft
"206 Finley Ave, Staten Island, NY 10306","$949,000",5,3,"2,063sqft"
"1376 Jefferson Ave, New York City, NY 11237","$1,700,000",7,3,No display data
"8523 Broadway Apt 7C, Elmhurst, NY 11373","$739,000",2,2,No display data
"130 E 75th St Unit 7D, New York City, NY 10021","$3,495,000",3,3,No display data
"107-48 92 St, Ozone Park, NY 11417","$849,000",2,2,No display data
"1471 Shore Dr, Bronx, NY 10465","$849,000",4,2.5,"1,836sqft"
"1532 Ryder St, Brooklyn, NY 11234","$1,099,000",6,3,"2,240sqft"
"983 Park Ave Unit 8D, New York City, NY 10028","$3,600,000",3,3.5,No display data
"41 Elmwood Ave, Staten Island, NY 10308","$750,000",3,2,"1,000sqft"
"401 E 65th St Unit 11HI, New York City, NY 10065","$995,000",2,2,No display data
No display data,"$1,695,000",6,3.5+,"2,772sqft"
"225 W 83rd St Apt 4M, New York City, NY 10024","$1,849,000",2,2,"1,114sqft"
"85 Adams St Apt 3D, Brooklyn, NY 11201","$1,395,000",2,2,"1,169sqft"
"128 Bay 43rd St Unit 1B, Brooklyn, NY 11214","$650,000",2,1.5,910sqft
"327 E 22nd St Unit 3A, Manhattan, NY 10010","$2,598,540",2,2,"1,326sqft"
"2 E 55th St Unit 815W17, Manhattan, NY 10022","$295,000",2,3,"1,290sqft"
"23-25 Bell Blvd Unit 4G, Bayside, NY 11360","$399,888",3,2,No display data
"2 E 55th St Unit 921W39, Manhattan, NY 10022","$285,000",2,2,957sqft
"2 E 55th St Unit 803W51, Manhattan, NY 10022","$335,000",2,2,"1,382sqft"
"58-53 246 Cres Unit Lower, Douglaston, NY 11362","$329,000",2,1,950sqft
"313 Broad St, Staten Island, NY 10304","$650,000",4,2,"2,350sqft"
"75-32 Parsons Blvd Unit B1, Fresh Meadows, NY 11366","$619,888",2,3,"1,343sqft"
